sample,species,Source,Batch,population
T.4.Nve.Fem.Sp.1,mouse,Immgen,1,1: thymic gd and naive T cells
T.4.Nve.Fem.Sp.2,mouse,Immgen,1,1: thymic gd and naive T cells
T.4.Nve.Sp.1,mouse,Immgen,1,1: thymic gd and naive T cells
T.4.Nve.Sp.2,mouse,Immgen,1,1: thymic gd and naive T cells
T.4.Sp.aCD3.CD40.18hr.1,mouse,Immgen,1,3: activated CD4s
T.4.Sp.aCD3.CD40.18hr.2,mouse,Immgen,1,3: activated CD4s
T.4.Th.1,mouse,Immgen,1,1: thymic gd and naive T cells
T.4.Th.2,mouse,Immgen,1,1: thymic gd and naive T cells
T.8.Nve.Sp.1,mouse,Immgen,1,1: thymic gd and naive T cells
T.8.Nve.Sp.2,mouse,Immgen,1,1: thymic gd and naive T cells
T.8.Th.1,mouse,Immgen,1,1: thymic gd and naive T cells
T.8.Th.2,mouse,Immgen,1,1: thymic gd and naive T cells
T8.IEL.LCMV.d7.Gut.1,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
T8.IEL.LCMV.d7.Gut.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
T8.MP.LCMV.d7.Sp.1,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
T8.MP.LCMV.d7.Sp.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
T8.Tcm.LCMV.d180.Sp.1,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
T8.Tcm.LCMV.d180.Sp.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
T8.TE.LCMV.d7.Sp.1,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
T8.TE.LCMV.d7.Sp.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
T8.Tem.LCMV.d180.Sp.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
T8.TN.P14.Sp.1,mouse,Immgen,1,1: thymic gd and naive T cells
T8.TN.P14.Sp.2,mouse,Immgen,1,1: thymic gd and naive T cells
Tgd.g1.1.d1.24a..Th.1,mouse,Immgen,1,1: thymic gd and naive T cells
Tgd.g1.1.d1.24a..Th.2,mouse,Immgen,1,1: thymic gd and naive T cells
Tgd.g1.1.d1.LN.1,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
Tgd.g1.1.d1.LN.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
Tgd.g2.d1.24a..Th.1,mouse,Immgen,1,1: thymic gd and naive T cells
Tgd.g2.d1.24a..Th.2,mouse,Immgen,1,1: thymic gd and naive T cells
Tgd.g2.d1.LN.1,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
Tgd.g2.d1.LN.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
Tgd.g2.d17.24a..Th.2,mouse,Immgen,1,1: thymic gd and naive T cells
Tgd.g2.d17.LN.1,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
Tgd.g2.d17.LN.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
Tgd.Sp.3,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
Tgd.Sp.4,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
Treg.4.25hi.Sp.1,mouse,Immgen,1,1: thymic gd and naive T cells
Treg.4.25hi.Sp.2,mouse,Immgen,1,1: thymic gd and naive T cells
NKT.19.8.TCRb.CD1daGalCerTet..Sp.1,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
NKT.19.8.TCRb.CD1daGalCerTet..Sp.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
NKT.19.8.TCRb.CD1daGalCerTet..Sp.3,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
NKT.19.8.TCRb.CD1daGalCerTet..Th.1,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
NKT.19.8.TCRb.CD1daGalCerTet..Th.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
NKT.19.8.TCRb.CD1daGalCerTet..Th.3,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
NKT.19.8.TCRb.CD1daGalCerTet..Lv.1,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
NKT.19.8.TCRb.CD1daGalCerTet..Lv.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
NKT.19.8.TCRb.CD1daGalCerTet..Lv.3,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
T.4.19.8.TCRb.CD4..Sp.1,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
T.4.19.8.TCRb.CD4..Sp.2,mouse,Immgen,1,"2: gd, NKT and Ag-experienced T cells"
mouse.CD4.R1.hisat,mouse,Thornton,2,4: CD4
mouse.CD4.R3.hisat,mouse,Thornton,2,4: CD4
mouse.CD4.R5.hisat,mouse,Thornton,2,4: CD4
mouse.CD4.R7.hisat,mouse,Thornton,2,4: CD4
mouse.CD4.R9.hisat,mouse,Thornton,2,4: CD4
mouse.CbirDN.R10.hisat,mouse,Thornton,2,6: CbirDN
mouse.CbirDN.R2.hisat,mouse,Thornton,2,6: CbirDN
mouse.CbirDN.R4.hisat,mouse,Thornton,2,6: CbirDN
mouse.CbirDN.R6.hisat,mouse,Thornton,2,6: CbirDN
mouse.CbirDN.R8.hisat,mouse,Thornton,2,6: CbirDN
mouse.DN.R1.hisat,mouse,Thornton,2,7: DN
mouse.DN.R3.hisat,mouse,Thornton,2,7: DN
mouse.DN.R5.hisat,mouse,Thornton,2,7: DN
mouse.DN.R7.hisat,mouse,Thornton,2,7: DN
mouse.DN.R9.hisat,mouse,Thornton,2,7: DN
mouse.NKT.R1.hisat,mouse,Thornton,2,5: NKT
mouse.NKT.R3.hisat,mouse,Thornton,2,5: NKT
mouse.NKT.R5.hisat,mouse,Thornton,2,5: NKT
mouse.NKT.R7.hisat,mouse,Thornton,2,5: NKT
mouse.NKT.R9.hisat,mouse,Thornton,2,5: NKT
CD161int.1,human,Hackstein,3,8: CD161int/-
CD161neg.2,human,Hackstein,3,8: CD161int/-
CD161hi.1,human,Hackstein,3,9: CD161hi/DP
CD161neg.1,human,Hackstein,3,8: CD161int/-
CD161hiCD56pos.3,human,Hackstein,3,9: CD161hi/DP
CD161hi.3,human,Hackstein,3,9: CD161hi/DP
CD161hi.2,human,Hackstein,3,9: CD161hi/DP
CD161int.3,human,Hackstein,3,8: CD161int/-
CD161hiCD56pos.2,human,Hackstein,3,9: CD161hi/DP
CD161neg.3,human,Hackstein,3,8: CD161int/-
CD161hiCD56pos.1,human,Hackstein,3,9: CD161hi/DP
CD161int.2,human,Hackstein,3,8: CD161int/-
